taxonomy_level,speech_type,topic,n_speeches_with_topic,n_speeches_in_type,topic_rate,overall_rate,lift
level2,public_remarks_or_address,"Crime, Insurrection & Federal Law Enforcement",63,328,0.19207317073170732,0.3197729422894986,0.600654856400635
level2,public_remarks_or_address,Early Naval Wars: Barbary & the War of 1812,7,328,0.021341463414634148,0.06149479659413434,0.34704502814258914
level2,public_remarks_or_address,Elections & Voting Integrity,25,328,0.07621951219512195,0.16367076631977295,0.4656880022557451
level2,public_remarks_or_address,"Executive Departments, Postal & Administrative Housekeeping",53,328,0.16158536585365854,0.33112582781456956,0.48798780487804877
level2,public_remarks_or_address,"Executive Power, Vetoes & the Courts",75,328,0.22865853658536586,0.4011352885525071,0.570028474459273
level2,public_remarks_or_address,Great Depression Recovery,30,328,0.09146341463414634,0.08230842005676443,1.1112279226240538
level2,public_remarks_or_address,"Health Care, Medicare & Social Security",51,328,0.15548780487804878,0.18448438978240303,0.8428236397748593
level2,public_remarks_or_address,Immigration & Border Security,30,328,0.09146341463414634,0.1456953642384106,0.6277716186252772
level2,public_remarks_or_address,"Indian Affairs, Removal & Allotment",6,328,0.018292682926829267,0.152317880794702,0.12009544008483562
level2,public_remarks_or_address,"Internal Improvements, Energy & Infrastructure",75,328,0.22865853658536586,0.34815515610217596,0.656771937963945
level2,public_remarks_or_address,"Iraq, Gulf Wars, the War on Terror & Interventions",73,328,0.2225609756097561,0.13434247871333965,1.656668670559945
level2,public_remarks_or_address,"Labor, Wages & Working Conditions",69,328,0.21036585365853658,0.25922421948912017,0.8115208296243546
level2,public_remarks_or_address,Middle East & Israel,58,328,0.17682926829268292,0.13718070009460737,1.2890243902439025
level2,public_remarks_or_address,"Military Preparedness, Armed Forces & Veterans",191,328,0.5823170731707317,0.5789971617786187,1.0057338992507572
level2,public_remarks_or_address,Monroe Doctrine & Latin American Policy,60,328,0.18292682926829268,0.30179754020813626,0.606124321431302
level2,public_remarks_or_address,National Bank & Banking Crises,24,328,0.07317073170731707,0.17975402081362346,0.40706033376123235
level2,public_remarks_or_address,Neutral Rights & Maritime Depredations,3,328,0.009146341463414634,0.11258278145695365,0.08124103299856528
level2,public_remarks_or_address,Nuclear Weapons & Arms Control,91,328,0.2774390243902439,0.22421948912015138,1.23735463620459
level2,public_remarks_or_address,"Partisan Combat, Press Conferences & Media Attacks",96,328,0.2926829268292683,0.2412488174077578,1.2131994261119081
level2,public_remarks_or_address,"Personal Narrative, Storytelling & Boasting",94,328,0.2865853658536585,0.17407757805108798,1.6463083244962884
level2,public_remarks_or_address,Presidential Humility & Reflection on Office,108,328,0.32926829268292684,0.32355723746452225,1.0176508344030808
level2,public_remarks_or_address,"Prosperity, Jobs & the Middle Class",101,328,0.3079268292682927,0.29990539262062443,1.0267465568977456
level2,public_remarks_or_address,"Providence, Faith & American Ideals",296,328,0.9024390243902439,0.7303689687795648,1.235593327435865
level2,public_remarks_or_address,"Public Debt, Revenue & Treasury Finance",22,328,0.06707317073170732,0.2980132450331126,0.22506775067750678
level2,public_remarks_or_address,Public Lands & Homestead Settlement,8,328,0.024390243902439025,0.1400189214758751,0.17419248516809493
level2,public_remarks_or_address,"Relations with Spain, Mexico & Territorial Claims",3,328,0.009146341463414634,0.14853358561967833,0.061577598260059034
level2,public_remarks_or_address,"Slavery, Emancipation & Sectionalism",13,328,0.039634146341463415,0.09082308420056764,0.4363884654471545
level2,public_remarks_or_address,Space Exploration,32,328,0.0975609756097561,0.08325449385052035,1.171840354767184
level2,public_remarks_or_address,"Tariffs, Reciprocity & Navigation Laws",50,328,0.1524390243902439,0.3424787133396405,0.4451051071284194
level2,public_remarks_or_address,"Taxes, Budget Deficits & Federal Spending",81,328,0.24695121951219512,0.2876064333017975,0.8586428915275995
level2,public_remarks_or_address,"Territorial Organization, Statehood & Insular Governance",7,328,0.021341463414634148,0.15042573320719016,0.14187375364319682
level2,public_remarks_or_address,"Treaties, Diplomacy & International Arbitration",151,328,0.4603658536585366,0.510879848628193,0.901123532068654
level2,public_remarks_or_address,"Trusts, Corporations & Antitrust",21,328,0.06402439024390244,0.10879848628192999,0.5884676564156945
level2,public_remarks_or_address,Vietnam War,63,328,0.19207317073170732,0.13718070009460737,1.4001471825063079
level2,public_remarks_or_address,"Welfare, Poverty & Economic Opportunity",61,328,0.18597560975609756,0.22232734153263956,0.8364945511157239
level2,public_remarks_or_address,"World Order, Foreign Aid & Democracy Promotion",143,328,0.43597560975609756,0.30368968779564803,1.4355956994149381
level2,public_remarks_or_address,World War I Mobilization & War Aims,15,328,0.04573170731707317,0.052980132450331126,0.8631859756097561
level2,public_remarks_or_address,World War II Military Operations,65,328,0.19817073170731708,0.11069063386944182,1.7903116531165313
level2,special_message_to_congress,Agriculture & Farm Prices,15,165,0.09090909090909091,0.23935666982024598,0.37980596478620193
level2,special_message_to_congress,Chinese Immigration & Exclusion,2,165,0.012121212121212121,0.02838221381267739,0.42707070707070705
level2,special_message_to_congress,"Civil Rights, Voting Rights & Discrimination",9,165,0.05454545454545454,0.25260170293282874,0.21593462717058223
level2,special_message_to_congress,Civil Service Reform & the Merit System,7,165,0.04242424242424243,0.12866603595080417,0.3297237076648841
level2,special_message_to_congress,"Coinage, Currency & Specie",12,165,0.07272727272727272,0.12582781456953643,0.5779904306220095
level2,special_message_to_congress,Cold War & Great-Power Rivalry,14,165,0.08484848484848485,0.3273415326395459,0.25920476440707657
level2,special_message_to_congress,"Commemoration, Eulogy & National Mourning",6,165,0.03636363636363636,0.23273415326395458,0.15624538063562454
level2,special_message_to_congress,Conservation & the Environment,8,165,0.048484848484848485,0.19489120151371808,0.2487790526625478
level2,special_message_to_congress,Constitutional Union & Federalism,32,165,0.19393939393939394,0.2535477767265847,0.7649027589326096
level2,special_message_to_congress,"Crime, Insurrection & Federal Law Enforcement",31,165,0.18787878787878787,0.3197729422894986,0.5875381029227182
level2,special_message_to_congress,Early Naval Wars: Barbary & the War of 1812,5,165,0.030303030303030304,0.06149479659413434,0.4927738927738928
level2,special_message_to_congress,Elections & Voting Integrity,10,165,0.06060606060606061,0.16367076631977295,0.3702925205815379
level2,special_message_to_congress,"Executive Departments, Postal & Administrative Housekeeping",41,165,0.24848484848484848,0.33112582781456956,0.7504242424242423
level2,special_message_to_congress,"Executive Power, Vetoes & the Courts",58,165,0.3515151515151515,0.4011352885525071,0.8763007432818753
level2,special_message_to_congress,Great Depression Recovery,4,165,0.024242424242424242,0.08230842005676443,0.294531522117729
level2,special_message_to_congress,"Health Care, Medicare & Social Security",3,165,0.01818181818181818,0.18448438978240303,0.09855477855477855
level2,special_message_to_congress,Immigration & Border Security,4,165,0.024242424242424242,0.1456953642384106,0.16639118457300275
level2,special_message_to_congress,"Indian Affairs, Removal & Allotment",14,165,0.08484848484848485,0.152317880794702,0.5570487483530963
level2,special_message_to_congress,"Internal Improvements, Energy & Infrastructure",23,165,0.1393939393939394,0.34815515610217596,0.40037878787878795
level2,special_message_to_congress,"Iraq, Gulf Wars, the War on Terror & Interventions",4,165,0.024242424242424242,0.13434247871333965,0.1804524114383269
level2,special_message_to_congress,"Labor, Wages & Working Conditions",16,165,0.09696969696969697,0.25922421948912017,0.3740765317407653
level2,special_message_to_congress,Mexican War,11,165,0.06666666666666667,0.023651844843897825,2.8186666666666667
level2,special_message_to_congress,Middle East & Israel,9,165,0.05454545454545454,0.13718070009460737,0.3976175548589342
level2,special_message_to_congress,"Military Preparedness, Armed Forces & Veterans",61,165,0.3696969696969697,0.5789971617786187,0.6385125767478709
level2,special_message_to_congress,Monroe Doctrine & Latin American Policy,36,165,0.21818181818181817,0.30179754020813626,0.7229410088344257
level2,special_message_to_congress,National Bank & Banking Crises,18,165,0.10909090909090909,0.17975402081362346,0.60688995215311
level2,special_message_to_congress,Neutral Rights & Maritime Depredations,17,165,0.10303030303030303,0.11258278145695365,0.915151515151515
level2,special_message_to_congress,Nuclear Weapons & Arms Control,7,165,0.04242424242424243,0.22421948912015138,0.18920854110727528
level2,special_message_to_congress,"Partisan Combat, Press Conferences & Media Attacks",11,165,0.06666666666666667,0.2412488174077578,0.27633986928104576
level2,special_message_to_congress,"Personal Narrative, Storytelling & Boasting",3,165,0.01818181818181818,0.17407757805108798,0.10444664031620553
level2,special_message_to_congress,Polygamy in the Territories,1,165,0.006060606060606061,0.019867549668874173,0.305050505050505
level2,special_message_to_congress,Presidential Humility & Reflection on Office,16,165,0.09696969696969697,0.32355723746452225,0.29969874180400496
level2,special_message_to_congress,"Prosperity, Jobs & the Middle Class",8,165,0.048484848484848485,0.29990539262062443,0.1616671446324443
level2,special_message_to_congress,"Providence, Faith & American Ideals",60,165,0.36363636363636365,0.7303689687795648,0.49788035798398494
level2,special_message_to_congress,"Public Debt, Revenue & Treasury Finance",42,165,0.2545454545454545,0.2980132450331126,0.854141414141414
level2,special_message_to_congress,Public Lands & Homestead Settlement,15,165,0.09090909090909091,0.1400189214758751,0.6492628992628994
level2,special_message_to_congress,Reconstruction & Southern Self-Government,6,165,0.03636363636363636,0.04919583727530748,0.7391608391608391
level2,special_message_to_congress,"Relations with Spain, Mexico & Territorial Claims",30,165,0.18181818181818182,0.14853358561967833,1.2240880138969312
level2,special_message_to_congress,"Slavery, Emancipation & Sectionalism",12,165,0.07272727272727272,0.09082308420056764,0.8007575757575757
level2,special_message_to_congress,Space Exploration,2,165,0.012121212121212121,0.08325449385052035,0.1455922865013774
level2,special_message_to_congress,"Tariffs, Reciprocity & Navigation Laws",47,165,0.28484848484848485,0.3424787133396405,0.8317261007868744
