network,source,target,similarity,source_n_speeches,target_n_speeches,default_visible
ai_topics,Bill Clinton,Joe Biden,0.8052814289094363,39,28,True
ai_topics,Bill Clinton,John Adams,0.3154733548621427,39,9,True
ai_topics,Bill Clinton,John F. Kennedy,0.5486846967948394,39,44,True
ai_topics,Bill Clinton,John Quincy Adams,0.31101734334654707,39,8,True
ai_topics,Bill Clinton,John Tyler,0.22727332688316657,39,18,True
ai_topics,Bill Clinton,Lyndon B. Johnson,0.5096201055743057,39,71,True
ai_topics,Bill Clinton,Martin Van Buren,0.19083490270800124,39,10,True
ai_topics,Bill Clinton,Millard Fillmore,0.32004833480639333,39,7,True
ai_topics,Bill Clinton,Richard M. Nixon,0.48996166884985576,39,23,True
ai_topics,Bill Clinton,Ronald Reagan,0.7085529718287157,39,60,True
ai_topics,Bill Clinton,Rutherford B. Hayes,0.2774520100869636,39,16,True
ai_topics,Bill Clinton,Theodore Roosevelt,0.3647730589175955,39,22,True
ai_topics,Bill Clinton,Thomas Jefferson,0.305967416599875,39,24,True
ai_topics,Bill Clinton,Ulysses S. Grant,0.3133121510025331,39,32,True
ai_topics,Bill Clinton,Warren G. Harding,0.552157589079892,39,18,True
ai_topics,Bill Clinton,William Harrison,0.1301634492169191,39,1,False
ai_topics,Bill Clinton,William McKinley,0.26196536574423224,39,14,True
ai_topics,Bill Clinton,William Taft,0.2766379102864165,39,12,True
ai_topics,Bill Clinton,Woodrow Wilson,0.4123684124475026,39,33,True
ai_topics,Bill Clinton,Zachary Taylor,0.25734595875874705,39,4,False
ai_topics,Calvin Coolidge,Chester A. Arthur,0.6778119126583004,12,11,True
ai_topics,Calvin Coolidge,Donald Trump,0.505091388700559,12,53,True
ai_topics,Calvin Coolidge,Dwight D. Eisenhower,0.5738643086504215,12,15,True
ai_topics,Calvin Coolidge,Franklin D. Roosevelt,0.42379478014672356,12,49,True
ai_topics,Calvin Coolidge,Franklin Pierce,0.7001768788346855,12,15,True
ai_topics,Calvin Coolidge,George H. W. Bush,0.5502138292327968,12,23,True
ai_topics,Calvin Coolidge,George W. Bush,0.3600821484953135,12,38,True
ai_topics,Calvin Coolidge,George Washington,0.5855243323461468,12,21,True
ai_topics,Calvin Coolidge,Gerald Ford,0.7184941908448984,12,14,True
ai_topics,Calvin Coolidge,Grover Cleveland,0.6016635062657775,12,32,True
ai_topics,Calvin Coolidge,Harry S. Truman,0.398867549836221,12,19,True
ai_topics,Calvin Coolidge,Herbert Hoover,0.648964007163415,12,30,True
ai_topics,Calvin Coolidge,James A. Garfield,0.4523590050111268,12,1,False
ai_topics,Calvin Coolidge,James Buchanan,0.5356323415715445,12,14,True
ai_topics,Calvin Coolidge,James K. Polk,0.4516631067758759,12,25,True
ai_topics,Calvin Coolidge,James Madison,0.45361842613922854,12,21,True
ai_topics,Calvin Coolidge,James Monroe,0.6835745724693207,12,10,True
ai_topics,Calvin Coolidge,Jimmy Carter,0.6167077572726566,12,22,True
ai_topics,Calvin Coolidge,Joe Biden,0.5051465573297313,12,28,True
ai_topics,Calvin Coolidge,John Adams,0.5601031125108298,12,9,True
ai_topics,Calvin Coolidge,John F. Kennedy,0.4008811387118388,12,44,True
ai_topics,Calvin Coolidge,John Quincy Adams,0.7440989864668761,12,8,True
ai_topics,Calvin Coolidge,John Tyler,0.5959847965632883,12,18,True
ai_topics,Calvin Coolidge,Lyndon B. Johnson,0.3584273367253144,12,71,True
ai_topics,Calvin Coolidge,Martin Van Buren,0.4630266835046465,12,10,True
ai_topics,Calvin Coolidge,Millard Fillmore,0.7069953772637207,12,7,True
ai_topics,Calvin Coolidge,Richard M. Nixon,0.41039942018360115,12,23,True
ai_topics,Calvin Coolidge,Ronald Reagan,0.5489939638511774,12,60,True
ai_topics,Calvin Coolidge,Rutherford B. Hayes,0.5411636194238434,12,16,True
ai_topics,Calvin Coolidge,Theodore Roosevelt,0.7060411539981891,12,22,True
ai_topics,Calvin Coolidge,Thomas Jefferson,0.539752986888207,12,24,True
ai_topics,Calvin Coolidge,Ulysses S. Grant,0.6479478564104898,12,32,True
ai_topics,Calvin Coolidge,Warren G. Harding,0.8087155755800053,12,18,True
ai_topics,Calvin Coolidge,William Harrison,0.3029585804043469,12,1,False
ai_topics,Calvin Coolidge,William McKinley,0.6187760409847037,12,14,True
ai_topics,Calvin Coolidge,William Taft,0.6096117638260778,12,12,True
ai_topics,Calvin Coolidge,Woodrow Wilson,0.6369663478207215,12,33,True
ai_topics,Calvin Coolidge,Zachary Taylor,0.7024715040529823,12,4,False
ai_topics,Chester A. Arthur,Donald Trump,0.3488178016559862,11,53,True
ai_topics,Chester A. Arthur,Dwight D. Eisenhower,0.39686962720623425,11,15,True
ai_topics,Chester A. Arthur,Franklin D. Roosevelt,0.2759926283344837,11,49,True
ai_topics,Chester A. Arthur,Franklin Pierce,0.6895852885827741,11,15,True
ai_topics,Chester A. Arthur,George H. W. Bush,0.4274031438926068,11,23,True
ai_topics,Chester A. Arthur,George W. Bush,0.20395512935417534,11,38,True
ai_topics,Chester A. Arthur,George Washington,0.6144566054708431,11,21,True
ai_topics,Chester A. Arthur,Gerald Ford,0.4932068114620082,11,14,True
ai_topics,Chester A. Arthur,Grover Cleveland,0.8881747140011332,11,32,True
ai_topics,Chester A. Arthur,Harry S. Truman,0.2675512968770252,11,19,True
ai_topics,Chester A. Arthur,Herbert Hoover,0.5577650071511584,11,30,True
