source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Civil rights & race,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1960,1964,1,34,2.941176470588235,1,True,included
Civil rights & race,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1975,1979,0,39,0.0,2,True,included
Civil rights & race,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1980,1984,46,1399,3.2880629020729093,35,True,included
Civil rights & race,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1985,1989,11,572,1.9230769230769231,22,True,included
Civil rights & race,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1875,1879,24,371,6.46900269541779,12,True,included
Civil rights & race,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1880,1884,3,129,2.3255813953488373,4,True,included
Civil rights & race,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1900,1904,18,602,2.990033222591362,11,True,included
Civil rights & race,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1905,1909,31,928,3.34051724137931,11,True,included
Civil rights & race,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1800,1804,3,142,2.112676056338028,11,True,included
Civil rights & race,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1805,1809,2,171,1.1695906432748537,13,True,included
Civil rights & race,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1865,1869,1,80,1.25,5,True,included
Civil rights & race,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1870,1874,31,505,6.138613861386139,19,True,included
Civil rights & race,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1875,1879,7,228,3.070175438596491,8,True,included
Civil rights & race,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1915,1919,0,9,0.0,2,False,below_25_paragraph_floor
Civil rights & race,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1920,1924,7,229,3.056768558951965,16,True,included
Civil rights & race,share of eligible paragraphs,William Harrison,William Henry Harrison,1840,1844,1,57,1.7543859649122806,1,True,included
Civil rights & race,share of eligible paragraphs,William McKinley,William McKinley,1895,1899,9,539,1.6697588126159555,10,True,included
Civil rights & race,share of eligible paragraphs,William McKinley,William McKinley,1900,1904,10,228,4.385964912280701,4,True,included
Civil rights & race,share of eligible paragraphs,William Taft,William Howard Taft,1905,1909,18,224,8.035714285714286,5,True,included
Civil rights & race,share of eligible paragraphs,William Taft,William Howard Taft,1910,1914,23,745,3.087248322147651,7,True,included
Civil rights & race,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1910,1914,6,187,3.2085561497326207,13,True,included
Civil rights & race,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1915,1919,24,452,5.3097345132743365,19,True,included
Civil rights & race,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1920,1924,1,22,4.545454545454546,1,False,below_25_paragraph_floor
Civil rights & race,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1845,1849,0,62,0.0,2,True,included
Civil rights & race,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1850,1854,0,18,0.0,2,False,below_25_paragraph_floor
