source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",2000,2009,2000,2009,34,1498,2.2696929238985315,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",2010,2019,2010,2019,44,2516,1.7488076311605723,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",2020,2029,2020,2026,96,3096,3.10077519379845,True,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1780,1799,1789,1799,37,355,10.422535211267606,True,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1800,1819,1800,1819,27,736,3.6684782608695654,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1820,1839,1820,1839,47,2092,2.2466539196940727,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1840,1859,1840,1859,104,3045,3.4154351395730704,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1860,1879,1860,1879,141,2558,5.5121188428459735,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1880,1899,1880,1899,88,3123,2.81780339417227,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1900,1919,1900,1919,123,3375,3.644444444444445,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1920,1939,1920,1939,62,1954,3.172978505629478,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1940,1959,1940,1959,21,1624,1.293103448275862,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1960,1979,1960,1979,199,5885,3.3814783347493624,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",1980,1999,1980,1999,210,4372,4.803293687099726,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",2000,2019,2000,2019,160,4014,3.9860488290981566,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Crime, Insurrection & Federal Law Enforcement",2020,2039,2020,2026,199,3096,6.427648578811369,True,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1780,1799,1789,1799,0,355,0.0,True,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1800,1819,1800,1819,0,736,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1820,1839,1820,1839,0,2092,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1840,1859,1840,1859,19,3045,0.6239737274220033,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1860,1879,1860,1879,12,2558,0.46911649726348714,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1880,1899,1880,1899,29,3123,0.9285943003522255,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1900,1919,1900,1919,1,3375,0.02962962962962963,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1920,1939,1920,1939,0,1954,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1940,1959,1940,1959,0,1624,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1960,1979,1960,1979,0,5885,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,1980,1999,1980,1999,0,4372,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,2000,2019,2000,2019,0,4014,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,Polygamy in the Territories,2020,2039,2020,2026,0,3096,0.0,True,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1780,1799,1789,1799,25,355,7.042253521126761,True,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1800,1819,1800,1819,25,736,3.3967391304347823,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1820,1839,1820,1839,210,2092,10.038240917782026,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1840,1859,1840,1859,187,3045,6.141215106732348,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1860,1879,1860,1879,366,2558,14.308053166536356,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1880,1899,1880,1899,102,3123,3.266090297790586,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1900,1919,1900,1919,132,3375,3.911111111111111,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1920,1939,1920,1939,82,1954,4.1965199590583415,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1940,1959,1940,1959,31,1624,1.9088669950738917,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1960,1979,1960,1979,199,5885,3.3814783347493624,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",1980,1999,1980,1999,108,4372,2.470265324794145,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",2000,2019,2000,2019,78,4014,1.9431988041853512,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,20,"Executive Power, Vetoes & the Courts",2020,2039,2020,2026,96,3096,3.10077519379845,True,descriptive,not_estimated
