doc_name,president,year,era,title,expected_paragraphs,completed_paragraphs,missing_paragraphs,completion_rate
/the-presidency/presidential-speeches/november-4-1812-fourth-annual-message,James Madison,1812,The founding,"November 4, 1812: Fourth Annual Message",28,28,0,1.0
/the-presidency/presidential-speeches/november-5-2020-remarks-2020-election,Donald Trump,2020,The present era,"November 5, 2020: Remarks on the 2020 Election",31,31,0,1.0
/the-presidency/presidential-speeches/november-8-1977-address-nation-energy,Jimmy Carter,1977,The Cold War,"November 8, 1977: Address to the Nation on Energy",19,19,0,1.0
/the-presidency/presidential-speeches/october-1-1888-message-regarding-chinese-exclusion-act,Grover Cleveland,1888,The Gilded Age,"October 1, 1888: Message Regarding Chinese Exclusion Act",14,1,13,0.07142857142857142
/the-presidency/presidential-speeches/october-1-1990-address-united-nations,George H. W. Bush,1990,Post-Cold War,"October 1, 1990: Address to the United Nations",29,29,0,1.0
/the-presidency/presidential-speeches/october-12-1937-fireside-chat-10-new-legislation,Franklin D. Roosevelt,1937,War & New Deal,"October 12, 1937: Fireside Chat 10: On New Legislation",25,25,0,1.0
/the-presidency/presidential-speeches/october-17-1966-remarks-departing-asia-pacific-trip,Lyndon B. Johnson,1966,The Cold War,"October 17, 1966: Remarks on Departing for the Asia-Pacific Trip",3,3,0,1.0
/the-presidency/presidential-speeches/october-18-1931-message-regarding-unemployment-relief,Herbert Hoover,1931,Progressives & Depression,"October 18, 1931: Message Regarding Unemployment Relief",11,11,0,1.0
/the-presidency/presidential-speeches/october-20-1903-message-convening-special-session-congress,Theodore Roosevelt,1903,Progressives & Depression,"October 20, 1903: Message Convening a Special Session of Congress",2,2,0,1.0
/the-presidency/presidential-speeches/october-20-1914-opinion-world-speech,Woodrow Wilson,1914,Progressives & Depression,"October 20, 1914: ""The Opinion of the World"" Speech",7,7,0,1.0
/the-presidency/presidential-speeches/october-21-1932-campaign-speech-madison-square-garden,Herbert Hoover,1932,Progressives & Depression,"October 21, 1932: Campaign Speech in Madison Square Garden",49,48,1,0.9795918367346939
/the-presidency/presidential-speeches/october-22-1952-rear-platform-remarks,Harry S. Truman,1952,The Cold War,"October 22, 1952: Rear Platform Remarks",10,1,9,0.1
/the-presidency/presidential-speeches/october-22-1986-remarks-signing-tax-reform-act,Ronald Reagan,1986,The Cold War,"October 22, 1986: Remarks on Signing the Tax Reform Act",12,12,0,1.0
/the-presidency/presidential-speeches/october-25-1791-third-annual-message-congress,George Washington,1791,The founding,"October 25, 1791: Third Annual Message to Congress",21,21,0,1.0
/the-presidency/presidential-speeches/october-25-1913-address-congress-hall-philadelphia,Woodrow Wilson,1913,Progressives & Depression,"October 25, 1913: Address at Congress Hall, Philadelphia",14,14,0,1.0
