,word,pos,lemma,year,president
332,act,VB,act,2013,Barack Obama
333,on,IN,on,2013,Barack Obama
334,behalf,NN,behalf,2013,Barack Obama
335,of,IN,of,2013,Barack Obama
336,those,DT,those,2013,Barack Obama
337,who,WP,who,2013,Barack Obama
338,long,RB,long,2013,Barack Obama
339,for,IN,for,2013,Barack Obama
340,freedom,NN,freedom,2013,Barack Obama
341,and,CC,And,2013,Barack Obama
342,we,PRP,we,2013,Barack Obama
343,must,MD,must,2013,Barack Obama
344,be,VB,be,2013,Barack Obama
345,a,DT,a,2013,Barack Obama
346,source,NN,source,2013,Barack Obama
347,of,IN,of,2013,Barack Obama
348,hope,NN,hope,2013,Barack Obama
349,to,TO,to,2013,Barack Obama
350,the,DT,the,2013,Barack Obama
351,poor,JJ,poor,2013,Barack Obama
352,the,DT,the,2013,Barack Obama
353,sick,NN,sick,2013,Barack Obama
354,the,DT,the,2013,Barack Obama
355,marginalized,VBN,marginalize,2013,Barack Obama
356,the,DT,the,2013,Barack Obama
357,victims,NNS,victim,2013,Barack Obama
358,of,IN,of,2013,Barack Obama
359,prejudice,NN,prejudice,2013,Barack Obama
360,–-,NN,–-,2013,Barack Obama
361,not,RB,not,2013,Barack Obama
362,out,IN,out,2013,Barack Obama
363,of,IN,of,2013,Barack Obama
364,mere,JJ,mere,2013,Barack Obama
365,charity,NN,charity,2013,Barack Obama
366,but,CC,but,2013,Barack Obama
367,because,IN,because,2013,Barack Obama
368,peace,NN,peace,2013,Barack Obama
369,in,IN,in,2013,Barack Obama
370,our,PRP$,our,2013,Barack Obama
371,time,NN,time,2013,Barack Obama
372,requires,VBZ,require,2013,Barack Obama
373,the,DT,the,2013,Barack Obama
374,constant,JJ,constant,2013,Barack Obama
375,advance,NN,advance,2013,Barack Obama
376,of,IN,of,2013,Barack Obama
377,those,DT,those,2013,Barack Obama
378,principles,NNS,principle,2013,Barack Obama
379,that,WDT,that,2013,Barack Obama
380,our,PRP$,our,2013,Barack Obama
381,common,JJ,common,2013,Barack Obama
382,creed,NN,creed,2013,Barack Obama
383,describes,NNS,describes,2013,Barack Obama
384,tolerance,NN,tolerance,2013,Barack Obama
385,and,CC,and,2013,Barack Obama
386,opportunity,NN,opportunity,2013,Barack Obama
387,human,JJ,human,2013,Barack Obama
388,dignity,NN,dignity,2013,Barack Obama
389,and,CC,and,2013,Barack Obama
390,justice,NN,justice,2013,Barack Obama
391,we,PRP,We,2013,Barack Obama
392,the,DT,the,2013,Barack Obama
393,people,NNS,people,2013,Barack Obama
394,declare,NN,declare,2013,Barack Obama
395,today,NN,today,2013,Barack Obama
396,that,IN,that,2013,Barack Obama
397,the,DT,the,2013,Barack Obama
398,most,RBS,most,2013,Barack Obama
399,evident,JJ,evident,2013,Barack Obama
400,of,IN,of,2013,Barack Obama
401,truths,JJ,truths,2013,Barack Obama
402,–-,NNS,–-,2013,Barack Obama
403,that,IN,that,2013,Barack Obama
404,all,DT,all,2013,Barack Obama
405,of,IN,of,2013,Barack Obama
406,us,PRP,us,2013,Barack Obama
407,are,VBP,be,2013,Barack Obama
408,created,VBN,create,2013,Barack Obama
409,equal,JJ,equal,2013,Barack Obama
410,–-,NN,–-,2013,Barack Obama
411,is,VBZ,be,2013,Barack Obama
412,the,DT,the,2013,Barack Obama
413,star,NN,star,2013,Barack Obama
414,that,WDT,that,2013,Barack Obama
415,guides,VBZ,guide,2013,Barack Obama
416,us,PRP,us,2013,Barack Obama
417,still,RB,still,2013,Barack Obama
418,just,RB,just,2013,Barack Obama
419,as,IN,as,2013,Barack Obama
420,it,PRP,it,2013,Barack Obama
421,guided,VBD,guide,2013,Barack Obama
422,our,PRP$,our,2013,Barack Obama
