condition,k,boundary_year,is_primary_k,n_axes
drop_register,12,1872,False,60
drop_register,12,1920,False,60
drop_register,12,1936,False,60
drop_register,12,1952,False,60
drop_register,12,1976,False,60
drop_register,12,2000,False,60
drop_register,12,2008,False,60
drop_register,12,2024,False,60
drop_stat,2,1920,False,52
drop_stat,3,1920,False,52
drop_stat,3,2016,False,52
drop_stat,4,1808,False,52
drop_stat,4,1920,False,52
drop_stat,4,2016,False,52
drop_stat,5,1808,False,52
drop_stat,5,1920,False,52
drop_stat,5,1936,False,52
drop_stat,5,2016,False,52
drop_stat,6,1808,False,52
drop_stat,6,1920,False,52
drop_stat,6,1936,False,52
drop_stat,6,1952,False,52
drop_stat,6,2016,False,52
drop_stat,7,1808,False,52
drop_stat,7,1872,False,52
drop_stat,7,1920,False,52
drop_stat,7,1936,False,52
drop_stat,7,1952,False,52
drop_stat,7,2016,False,52
drop_stat,8,1808,False,52
drop_stat,8,1848,False,52
drop_stat,8,1872,False,52
drop_stat,8,1920,False,52
drop_stat,8,1936,False,52
drop_stat,8,1952,False,52
drop_stat,8,2016,False,52
drop_stat,9,1792,True,52
drop_stat,9,1808,True,52
drop_stat,9,1848,True,52
drop_stat,9,1872,True,52
drop_stat,9,1920,True,52
drop_stat,9,1936,True,52
drop_stat,9,1952,True,52
drop_stat,9,2016,True,52
drop_stat,10,1792,False,52
drop_stat,10,1808,False,52
drop_stat,10,1848,False,52
drop_stat,10,1872,False,52
drop_stat,10,1920,False,52
drop_stat,10,1936,False,52
drop_stat,10,1952,False,52
drop_stat,10,1976,False,52
drop_stat,10,2016,False,52
drop_stat,11,1792,False,52
drop_stat,11,1808,False,52
drop_stat,11,1848,False,52
drop_stat,11,1872,False,52
drop_stat,11,1920,False,52
drop_stat,11,1928,False,52
drop_stat,11,1936,False,52
drop_stat,11,1952,False,52
drop_stat,11,1976,False,52
drop_stat,11,2016,False,52
drop_stat,12,1792,False,52
drop_stat,12,1808,False,52
drop_stat,12,1816,False,52
drop_stat,12,1848,False,52
drop_stat,12,1872,False,52
drop_stat,12,1920,False,52
drop_stat,12,1928,False,52
drop_stat,12,1936,False,52
drop_stat,12,1952,False,52
drop_stat,12,1976,False,52
drop_stat,12,2016,False,52
drop_topic,2,1936,False,46
drop_topic,3,1936,False,46
drop_topic,3,2016,False,46
drop_topic,4,1808,False,46
drop_topic,4,1936,False,46
drop_topic,4,2016,False,46
drop_topic,5,1808,False,46
drop_topic,5,1912,False,46
drop_topic,5,1936,False,46
drop_topic,5,2016,False,46
drop_topic,6,1808,False,46
drop_topic,6,1872,False,46
drop_topic,6,1912,False,46
drop_topic,6,1936,False,46
drop_topic,6,2016,False,46
drop_topic,7,1808,False,46
drop_topic,7,1872,False,46
drop_topic,7,1912,False,46
drop_topic,7,1936,False,46
drop_topic,7,1952,False,46
drop_topic,7,2016,False,46
drop_topic,8,1792,False,46
drop_topic,8,1808,False,46
drop_topic,8,1872,False,46
drop_topic,8,1912,False,46
drop_topic,8,1936,False,46
drop_topic,8,1952,False,46
drop_topic,8,2016,False,46
drop_topic,9,1792,True,46
drop_topic,9,1808,True,46
drop_topic,9,1872,True,46
drop_topic,9,1912,True,46
drop_topic,9,1936,True,46
drop_topic,9,1952,True,46
drop_topic,9,1976,True,46
drop_topic,9,2016,True,46
drop_topic,10,1792,False,46
drop_topic,10,1808,False,46
drop_topic,10,1832,False,46
drop_topic,10,1872,False,46
drop_topic,10,1912,False,46
drop_topic,10,1936,False,46
drop_topic,10,1952,False,46
drop_topic,10,1976,False,46
drop_topic,10,2016,False,46
drop_topic,11,1792,False,46
drop_topic,11,1808,False,46
drop_topic,11,1832,False,46
drop_topic,11,1872,False,46
drop_topic,11,1912,False,46
drop_topic,11,1936,False,46
drop_topic,11,1952,False,46
drop_topic,11,1976,False,46
drop_topic,11,2000,False,46
drop_topic,11,2016,False,46
