president_profile_id,issue_id,state,positive_paragraph_count,source_document_paragraph_count,source_document_speech_count,paragraph_share
herbert-hoover,infrastructure,supported,48,698,30,0.06876790830945559
franklin-d-roosevelt,infrastructure,supported,129,1084,49,0.11900369003690037
harry-s-truman,infrastructure,supported,17,308,19,0.05519480519480519
dwight-d-eisenhower,infrastructure,supported,18,696,15,0.02586206896551724
john-f-kennedy,infrastructure,supported,23,1367,44,0.016825164594001463
lyndon-b-johnson,infrastructure,supported,49,2712,71,0.018067846607669618
richard-m-nixon,infrastructure,supported,4,520,23,0.007692307692307693
gerald-ford,infrastructure,supported,6,410,14,0.014634146341463415
jimmy-carter,infrastructure,supported,15,1034,22,0.014506769825918761
ronald-reagan,infrastructure,supported,47,2044,60,0.02299412915851272
george-h-w-bush,infrastructure,supported,13,934,23,0.013918629550321198
bill-clinton,infrastructure,supported,23,1288,39,0.017857142857142856
george-w-bush,infrastructure,supported,30,1058,38,0.02835538752362949
barack-obama,infrastructure,supported,64,1879,51,0.034060670569451834
donald-trump,infrastructure,supported,71,2853,53,0.02488608482299334
joe-biden,infrastructure,supported,56,1219,28,0.04593929450369155
george-washington,security-and-peace,supported,16,253,21,0.06324110671936758
john-adams,security-and-peace,supported,8,116,9,0.06896551724137931
thomas-jefferson,security-and-peace,supported,19,313,24,0.06070287539936102
james-madison,security-and-peace,supported,22,274,21,0.08029197080291971
james-monroe,security-and-peace,supported,20,407,10,0.04914004914004914
john-quincy-adams,security-and-peace,supported,27,276,8,0.09782608695652174
andrew-jackson,security-and-peace,supported,31,1150,26,0.026956521739130435
martin-van-buren,security-and-peace,supported,14,465,10,0.030107526881720432
william-harrison,security-and-peace,thin_president,2,57,1,0.03508771929824561
john-tyler,security-and-peace,supported,13,540,18,0.024074074074074074
james-k-polk,security-and-peace,supported,48,722,25,0.0664819944598338
zachary-taylor,security-and-peace,thin_president,6,80,4,0.075
millard-fillmore,security-and-peace,supported,15,268,7,0.055970149253731345
franklin-pierce,security-and-peace,supported,38,472,15,0.08050847457627118
james-buchanan,security-and-peace,supported,23,625,14,0.0368
abraham-lincoln,security-and-peace,supported,34,859,15,0.03958090803259604
andrew-johnson,security-and-peace,supported,34,725,31,0.04689655172413793
ulysses-s-grant,security-and-peace,supported,57,813,32,0.07011070110701106
rutherford-b-hayes,security-and-peace,supported,20,500,16,0.04
james-a-garfield,security-and-peace,thin_president,1,29,1,0.034482758620689655
chester-a-arthur,security-and-peace,supported,28,478,11,0.058577405857740586
grover-cleveland,security-and-peace,supported,65,1350,32,0.04814814814814815
benjamin-harrison,security-and-peace,supported,36,598,16,0.06020066889632107
william-mckinley,security-and-peace,supported,85,767,14,0.11082138200782268
theodore-roosevelt,security-and-peace,supported,109,1530,22,0.07124183006535947
william-taft,security-and-peace,supported,48,969,12,0.04953560371517028
woodrow-wilson,security-and-peace,supported,140,661,33,0.2118003025718608
warren-g-harding,security-and-peace,supported,58,238,18,0.24369747899159663
calvin-coolidge,security-and-peace,supported,70,590,12,0.11864406779661017
herbert-hoover,security-and-peace,supported,85,698,30,0.12177650429799428
franklin-d-roosevelt,security-and-peace,supported,466,1084,49,0.42988929889298894
harry-s-truman,security-and-peace,supported,170,308,19,0.551948051948052
dwight-d-eisenhower,security-and-peace,supported,286,696,15,0.4109195402298851
john-f-kennedy,security-and-peace,supported,635,1367,44,0.46452084857351866
lyndon-b-johnson,security-and-peace,supported,909,2712,71,0.33517699115044247
richard-m-nixon,security-and-peace,supported,188,520,23,0.36153846153846153
gerald-ford,security-and-peace,supported,147,410,14,0.35853658536585364
jimmy-carter,security-and-peace,supported,308,1034,22,0.2978723404255319
ronald-reagan,security-and-peace,supported,789,2044,60,0.3860078277886497
george-h-w-bush,security-and-peace,supported,338,934,23,0.3618843683083512
bill-clinton,security-and-peace,supported,267,1288,39,0.20729813664596272
george-w-bush,security-and-peace,supported,469,1058,38,0.44328922495274103
barack-obama,security-and-peace,supported,498,1879,51,0.2650345928685471
donald-trump,security-and-peace,supported,402,2853,53,0.14090431125131442
joe-biden,security-and-peace,supported,346,1219,28,0.2838392124692371
