president_profile_id,topic_id,topic_level,state,topic_paragraph_count,topic_appearance_count,eligible_president_paragraph_count,eligible_president_appearance_count,speaker_paragraph_share,president_support_status,edge_support_status,evidence_receipt_count
zachary-taylor,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,thin_president,3,1,80,4,0.0375,thin,thin_president,1
millard-fillmore,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,24,3,253,7,0.09486166007905138,supported,supported,3
franklin-pierce,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,15,6,451,15,0.03325942350332594,supported,supported,3
james-buchanan,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,43,6,587,14,0.07325383304940375,supported,supported,3
abraham-lincoln,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,thin_edge,3,3,663,15,0.004524886877828055,supported,thin_edge,3
andrew-johnson,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,11,5,636,30,0.01729559748427673,supported,supported,3
ulysses-s-grant,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,60,12,743,29,0.08075370121130551,supported,supported,3
rutherford-b-hayes,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,20,4,499,16,0.04008016032064128,supported,supported,3
james-a-garfield,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,thin_president,1,1,29,1,0.034482758620689655,thin,thin_president,1
chester-a-arthur,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,48,6,468,11,0.10256410256410256,supported,supported,3
grover-cleveland,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,138,15,1316,31,0.10486322188449848,supported,supported,3
benjamin-harrison,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,109,7,586,16,0.18600682593856654,supported,supported,3
william-mckinley,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,83,10,744,14,0.11155913978494623,supported,supported,3
theodore-roosevelt,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,262,15,1398,21,0.18741058655221746,supported,supported,3
