boundary_year,score_4,rank_4,percentile_4,score_8,rank_8,percentile_8,consensus,consensus_rank
1861,6.009233038217484,190,0.17826086956521736,6.935885508722814,119,0.46846846846846846,0.3233646690168429,150
1862,9.127472864576939,86,0.6304347826086957,7.418816058802535,99,0.5585585585585586,0.5944966705836272,91
1863,10.847490246591539,32,0.8652173913043478,7.22729888090094,109,0.5135135135135135,0.6893654524089307,64
1864,10.173498803682838,54,0.7695652173913043,7.2089973743690665,112,0.5,0.6347826086956522,81
1865,9.91728032777079,62,0.7347826086956522,7.574684130406268,93,0.5855855855855856,0.6601840971406189,74
1866,10.453125200262482,42,0.8217391304347826,6.977507339010031,117,0.4774774774774775,0.64960830395613,77
1867,8.317598939904979,111,0.5217391304347826,5.65131620182947,178,0.20270270270270274,0.36222091656874267,142
1868,10.25976294695915,49,0.7913043478260869,8.132711417594992,61,0.7297297297297297,0.7605170387779083,49
1869,11.184102957366122,27,0.8869565217391304,8.636520901579791,41,0.8198198198198199,0.8533881707794752,25
1870,11.332878779100774,24,0.9,8.134338253988334,60,0.7342342342342343,0.8171171171171172,36
1871,9.049302857074862,88,0.6217391304347826,8.089970497618262,65,0.7117117117117118,0.6667254210732472,71
1872,6.7888320907895565,160,0.30869565217391304,6.857357425245246,123,0.4504504504504504,0.3795730513121817,136
1873,6.081090810375303,186,0.19565217391304346,6.038800947234496,159,0.28828828828828834,0.2419702311006659,168
1874,5.619111070348107,204,0.11739130434782608,5.408352484079008,188,0.1576576576576577,0.1375244810027419,203
1875,4.140028464643366,231,0.0,4.546744781173408,213,0.04504504504504503,0.022522522522522515,221
1876,7.0322685243475025,150,0.3521739130434782,5.039711801447729,200,0.10360360360360366,0.22788875832354094,174
1877,7.593975013879276,133,0.4260869565217391,5.511835679010312,184,0.17567567567567566,0.3008813160987074,155
1878,6.456412777289071,170,0.26521739130434785,4.888625463659254,204,0.0855855855855856,0.17540148844496672,193
1879,6.902358961358245,155,0.33043478260869563,4.274431055101147,220,0.013513513513513487,0.17197414806110456,194
1880,5.465341682898743,209,0.09565217391304348,3.8777814005093676,222,0.0045045045045044585,0.05007833920877397,215
1881,6.50989723161668,168,0.27391304347826084,5.1396584972219275,198,0.11261261261261257,0.1932628280454367,188
1882,5.726398218734841,200,0.13478260869565217,5.0853137522792675,199,0.10810810810810811,0.12144535840188014,205
1883,7.700819807545439,128,0.4478260869565217,6.031773103902599,160,0.28378378378378377,0.36580493537015274,141
1884,4.994947967212672,219,0.05217391304347829,5.796821108689555,172,0.22972972972972971,0.140951821386604,202
1885,6.858687168601244,157,0.32173913043478264,6.02596648230623,161,0.2792792792792793,0.300509204857031,156
1886,6.900614657960105,156,0.32608695652173914,5.666166923776527,176,0.21171171171171166,0.2688993341167254,164
1887,8.234808642873718,115,0.5043478260869565,5.288734869663388,193,0.1351351351351351,0.3197414806110458,151
1888,7.205956766578376,143,0.3826086956521739,5.01853848260138,201,0.09909909909909909,0.2408538973756365,170
1889,6.932654191548516,154,0.33478260869565213,5.976100276889152,162,0.27477477477477474,0.30477869173521344,154
1890,8.593040290068663,100,0.5695652173913044,6.1779735931866435,154,0.31081081081081086,0.4401880141010576,121
1891,9.7745989981855,67,0.7130434782608696,6.5112822614183,139,0.3783783783783784,0.545710928319624,104
1892,9.462294769465618,78,0.6652173913043478,5.9485637821095985,164,0.2657657657657657,0.46549157853505674,116
1893,6.078594780126313,187,0.19130434782608696,5.0013486354576004,202,0.09459459459459463,0.1429494712103408,201
1894,5.204071186163192,213,0.07826086956521738,3.956370387336225,221,0.009009009009009028,0.043634939287113206,217
1895,4.250192420243702,229,0.008695652173912993,4.46457739769059,216,0.03153153153153154,0.020113591852722268,222
1896,4.929205090571861,222,0.03913043478260869,4.309353064331387,219,0.018018018018018056,0.028574226400313374,219
1897,5.495686143540384,208,0.09999999999999998,4.497584806549503,214,0.04054054054054057,0.07027027027027027,212
1898,6.261662860609383,179,0.22608695652173916,5.6656049531204475,177,0.2072072072072072,0.21664708186447318,177
1899,7.420228475486727,137,0.408695652173913,6.538192877109006,137,0.3873873873873874,0.3980415197806502,133
1900,5.5127227883327645,207,0.10434782608695647,7.22600833506354,110,0.509009009009009,0.30667841754798275,153
1901,7.515242898743047,134,0.4217391304347826,8.55478390045392,44,0.8063063063063063,0.6140227183705445,86
1902,5.562517269533719,205,0.11304347826086958,6.450041666513109,141,0.36936936936936937,0.24120642381511948,169
1903,5.7888351351237475,196,0.15217391304347827,5.8790054663571825,169,0.2432432432432432,0.19770857814336074,184
1904,5.732856959244403,199,0.13913043478260867,5.89738455236154,168,0.24774774774774777,0.19343909126517822,187
1905,5.3297485331134835,211,0.08695652173913049,5.318810185072749,191,0.14414414414414412,0.1155503329416373,209
1906,5.125916621805818,215,0.06956521739130439,4.822545896061888,208,0.06756756756756754,0.06856639247943597,213
1907,6.339036803405135,173,0.25217391304347825,4.659069911518638,212,0.0495495495495496,0.15086173129651392,197
1908,6.937010964386251,153,0.33913043478260874,4.8601462609928445,206,0.07657657657657657,0.20785350567959265,180
1909,8.514075241071934,104,0.5521739130434782,6.279051469015802,151,0.32432432432432434,0.43824911868390126,122
1910,6.181265262692797,181,0.21739130434782605,4.833823131407054,207,0.07207207207207211,0.14473168820994908,200
1911,6.758401882305487,162,0.30000000000000004,5.91792091735459,165,0.26126126126126126,0.28063063063063065,162
1912,8.546039486452255,102,0.5608695652173913,7.521204826240772,95,0.5765765765765766,0.5687230708969839,98
1913,11.87858245355142,19,0.9217391304347826,9.778489341815972,19,0.9189189189189189,0.9203290246768507,13
