cycle_start,cycle_end,grid_offset,is_complete_cycle,n_paragraphs,n_speeches,combat_enemy_naming,combat_party_attack,combat_zero_sum,genre__campaign_or_debate,genre__eulogy_or_commemoration,genre__inaugural_address,genre__other,genre__press_conference_or_interview,genre__proclamation,genre__public_remarks_or_address,genre__special_message_to_congress,genre__state_of_the_union_or_annual_message,genre__veto_or_signing_statement,marker_america,marker_assertive_modals,marker_boosters,marker_concessives,marker_doom,marker_future,marker_god_bless,marker_hedges,marker_hype,marker_mechanism,marker_need_to,marker_nostalgia,marker_nrc_fear,marker_nrc_hope,marker_opponents,marker_religiosity,marker_superlatives,marker_united_states,marker_us_them,register_neither_share,register_proposal_share,register_values_share,stat_fk_grade,stat_modal_can_per_1k,stat_modal_could_per_1k,stat_modal_may_per_1k,stat_modal_must_per_1k,stat_modal_shall_per_1k,stat_modal_should_per_1k,stat_modal_will_per_1k,stat_modal_would_per_1k,stat_self_reference,stat_words_per_sentence,"topic__Agriculture, Land & Environment",topic__Ceremonial & Commemorative Address,topic__Civil Rights & Immigration,topic__Constitutional Order & Governance,"topic__Economy, Labor & Social Welfare",topic__Faith & National Values,topic__Foreign Relations & Diplomacy,topic__Indian & Tribal Affairs,topic__Infrastructure & Internal Improvements,"topic__Law, Crime & Justice","topic__Money, Banking & Currency",topic__Partisan & Media Combat,topic__Personal Narrative & Reflection,topic__Procedural & Administrative,topic__Public Finance & Taxation,"topic__Trade, Commerce & Tariffs",topic__War & Military Affairs
1841,1844,0,True,595,19,0.10756302521008404,0.01680672268907563,0.031932773109243695,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.3142857142857143,0.44537815126050423,0.1226890756302521,1.0685823902771878,5.07254773215918,0.70809676464151,2.0599178607753013,0.12874486629845633,0.3218621657461409,0.0,4.5704427535952,0.5536029250833623,4.106961234920758,0.10299589303876508,0.48923049193413415,26.830430136598306,63.54846600491805,0.09012140640891944,0.47635600530428845,0.8368416309399662,3.4246134435389393,4.261455074478905,0.37478991596638656,0.20168067226890757,0.3042016806722689,19.18402851305229,2.5821444709831516,1.0328577883932608,3.2664127557936866,0.6971790071654509,1.4072687366858174,2.5434123039184042,3.9377703182493065,3.3438770899231813,0.6007130124777184,39.34881555637649,0.05378151260504202,0.0033613445378151263,0.0067226890756302525,0.2235294117647059,0.0016806722689075631,0.03697478991596639,0.346218487394958,0.03361344537815126,0.031932773109243695,0.013445378151260505,0.16470588235294117,0.010084033613445379,0.023529411764705882,0.03529411764705882,0.12436974789915967,0.0773109243697479,0.06218487394957983
1845,1848,0,True,678,24,0.29793510324483774,0.032448377581120944,0.11651917404129794,0.0,0.0,0.048672566371681415,0.0,0.0,0.0058997050147492625,0.0,0.19174041297935104,0.724188790560472,0.029498525073746312,1.0424970871404917,4.732119130843605,0.6745569387379653,0.9505120500398602,0.16352895484556737,0.2248523129126551,0.0,4.415281780830318,0.1737495145234153,5.171603196991067,0.0511027983892398,0.6541158193822695,29.220580118967316,64.29754093334151,0.030661679033543873,0.5927924613151817,0.3577195887246785,4.1188855501727275,7.041965618037244,0.3805309734513274,0.19616519174041297,0.2743362831858407,18.438083176050853,1.7635780126936604,0.7895087614965804,3.1375283249084887,1.0971095776640793,1.5277507202985778,3.158035045986322,3.4246224199981543,3.291328732992238,0.291368884002199,37.02062382173937,0.06342182890855458,0.0029498525073746312,0.030973451327433628,0.2079646017699115,0.007374631268436578,0.030973451327433628,0.3112094395280236,0.058997050147492625,0.03982300884955752,0.0058997050147492625,0.0752212389380531,0.0,0.01327433628318584,0.03392330383480826,0.09882005899705015,0.11504424778761062,0.27876106194690264
1849,1852,0,True,485,14,0.09690721649484536,0.008247422680412371,0.05979381443298969,0.0,0.1731958762886598,0.018556701030927835,0.0,0.0,0.012371134020618556,0.0,0.24329896907216494,0.5525773195876289,0.0,1.2568321982872008,4.720427907520532,0.7014877385789028,1.9290912810919825,0.18998626253178616,0.277672229854149,0.0,4.01894016894163,0.4530441644988747,6.0357174173559756,0.014614327887060474,0.833016689562447,25.984274983193522,64.60994358869436,0.11691462309648379,0.5699587875953585,0.833016689562447,4.281998070908719,4.968871481600561,0.41030927835051545,0.1979381443298969,0.29896907216494845,18.64656893130361,1.687602723644048,0.8951631838459732,2.832237614463489,0.9685372153087579,2.7295139704155904,2.553416294904907,3.6246771542615637,1.7756515613993895,0.4948805460750853,37.52093429806086,0.05360824742268041,0.04536082474226804,0.12577319587628866,0.26804123711340205,0.0,0.05154639175257732,0.33814432989690724,0.03505154639175258,0.07628865979381444,0.07010309278350516,0.012371134020618556,0.0,0.0288659793814433,0.06804123711340206,0.0577319587628866,0.0577319587628866,0.15876288659793814
1853,1856,0,True,748,16,0.22058823529411764,0.0481283422459893,0.10026737967914438,0.3689839572192513,0.0,0.029411764705882353,0.0,0.0,0.008021390374331552,0.0,0.0855614973262032,0.4425133689839572,0.06550802139037433,1.1602490391687645,3.7604500108773347,1.1913271384322135,1.460670665382105,0.19682796200184396,0.5283276874786338,0.0,3.1181692927660545,0.22790606126529303,5.179683210574842,0.06215619852689809,0.7976712144285255,29.648506697330394,58.7168888750764,0.13467176347494586,1.1498896727476149,0.4143746568459873,3.366794086873647,7.955993411442956,0.5294117647058824,0.10160427807486631,0.2994652406417112,17.910719655862756,1.7428470651700314,1.1515239537730564,1.939954768969023,0.7573085461750731,1.722098885822769,1.5872357200655642,2.8943710189430876,2.344544266240637,0.48535564853556484,36.224202977502976,0.020053475935828877,0.00267379679144385,0.446524064171123,0.21256684491978609,0.0,0.026737967914438502,0.22593582887700533,0.013368983957219251,0.0962566844919786,0.03609625668449198,0.001336898395721925,0.0,0.008021390374331552,0.02807486631016043,0.03342245989304813,0.020053475935828877,0.06951871657754011
1857,1860,0,True,746,13,0.27479892761394104,0.09517426273458444,0.08981233243967829,0.19436997319034852,0.0,0.02546916890080429,0.0,0.0,0.0,0.0,0.14075067024128687,0.6032171581769437,0.036193029490616625,1.124608774070341,4.753063497957668,1.3261895920640816,1.4747228263752585,0.4137711527239934,0.3925521192509681,0.0,4.286244761551111,0.19097130125722772,5.347196435202376,0.03182855020953796,0.8699803723940375,33.00620656729086,62.2248156596467,0.2546284016763037,0.6047424539812212,0.5198663200891199,2.832740968648878,8.551270489629198,0.5214477211796247,0.13002680965147453,0.2949061662198391,15.692681957129327,2.584996383132633,1.1808008169865112,2.670099144717246,0.8191140802519042,2.4360665503595595,2.233947491596102,3.574315986553764,4.276413769626824,0.4033057851239669,30.24824461092177,0.04423592493297587,0.0,0.33109919571045576,0.3096514745308311,0.00804289544235925,0.0160857908847185,0.22386058981233245,0.013404825737265416,0.02546916890080429,0.06166219839142091,0.036193029490616625,0.0013404825737265416,0.00804289544235925,0.04155495978552279,0.058981233243967826,0.05630026809651475,0.05361930294906166
1861,1864,0,True,372,13,0.1935483870967742,0.0,0.06989247311827956,0.0,0.005376344086021506,0.08870967741935484,0.0,0.0,0.01881720430107527,0.03763440860215054,0.20430107526881722,0.6451612903225806,0.0,0.5789851548206304,5.650895111049352,1.2969267467982122,2.0843465573542694,0.3937099052780286,0.4168693114708539,0.0,4.377127770443966,0.4400287176636791,3.0802010236457535,0.11579703096412608,0.8337386229417078,29.92195280113018,61.742976910072024,0.06947821857847565,0.6947821857847565,0.7642604043632322,2.6401723059820745,7.179415919775817,0.30376344086021506,0.17473118279569894,0.34946236559139787,14.964859489889601,3.7108333140060767,1.0668645777767471,2.481619778741564,0.9509010367140571,2.2728854048287217,1.6466822830901964,4.568963517869982,3.525291648305773,0.4968474148802018,29.068341574212194,0.043010752688172046,0.010752688172043012,0.22849462365591397,0.4032258064516129,0.021505376344086023,0.053763440860215055,0.11559139784946236,0.021505376344086023,0.026881720430107527,0.0967741935483871,0.01881720430107527,0.0,0.010752688172043012,0.056451612903225805,0.08870967741935484,0.010752688172043012,0.1424731182795699
1865,1868,0,True,731,32,0.21477428180574556,0.106703146374829,0.03283173734610123,0.0,0.0,0.008207934336525308,0.0,0.0,0.08755129958960328,0.004103967168262654,0.2024623803009576,0.3953488372093023,0.3023255813953488,0.6132009087436417,4.885502322121474,1.095719656607491,2.08086210016285,0.23120690001809444,0.21110195219043407,0.0,4.2421439916363415,0.42220390438086813,6.594422887472606,0.07036731739681136,1.1158246044351514,32.17796899817045,69.71390659241239,0.0,0.7137256478819437,0.5227286435191701,4.694505317758701,5.750015078710871,0.4829001367989056,0.15047879616963064,0.280437756497948,20.36786652330606,2.392586011952835,0.5855273784525925,2.8569697948635113,1.3628654498465516,2.6853497011791307,2.1099176223550313,3.3011629785172025,2.6449685026651593,0.5336676217765043,42.080300247997634,0.015047879616963064,0.0013679890560875513,0.4049247606019152,0.5088919288645691,0.016415868673050615,0.023255813953488372,0.08344733242134063,0.006839945280437756,0.015047879616963064,0.049247606019151846,0.04514363885088919,0.0,0.004103967168262654,0.04240766073871409,0.06976744186046512,0.015047879616963064,0.036935704514363885
1869,1872,0,True,393,19,0.1450381679389313,0.002544529262086514,0.035623409669211195,0.0,0.0,0.022900763358778626,0.0,0.0,0.06361323155216285,0.0,0.22137404580152673,0.6870229007633588,0.005089058524173028,2.447620912473076,4.386136675151753,0.43078128059526144,1.5273154493831995,0.09790483649892304,0.39161934599569215,0.0,3.7203837869590757,0.43078128059526144,5.208537301742706,0.09790483649892304,0.6070099862933229,23.614646563540237,69.62991971803407,0.05874290189935383,0.6070099862933229,0.6265909535931075,6.892500489524183,5.110632465243783,0.37150127226463103,0.30279898218829515,0.17048346055979643,18.817018774442456,1.5914806664570889,0.39295818924866394,2.731059415278214,0.5108456460232631,1.9058472178560202,1.709368123231688,3.772398616787174,1.5128890286073562,0.4803921568627451,37.56551457089081,0.04580152671755725,0.005089058524173028,0.14249363867684478,0.11450381679389313,0.002544529262086514,0.02544529262086514,0.4071246819338422,0.03816793893129771,0.04580152671755725,0.043256997455470736,0.027989821882951654,0.0,0.007633587786259542,0.10432569974554708,0.07633587786259542,0.11704834605597965,0.0737913486005089
1873,1876,0,True,413,12,0.09200968523002422,0.029055690072639227,0.021791767554479417,0.0,0.0,0.029055690072639227,0.0,0.0,0.012106537530266344,0.0,0.12106537530266344,0.7893462469733656,0.048426150121065374,0.9757811127807811,4.3714993852578985,0.6049842899240843,1.4246404246599402,0.17564060030054057,0.35128120060108114,0.0,4.332468140746668,0.09757811127807811,5.03503054194883,0.07806248902246249,0.5464374231572373,26.931558712749556,64.01124099841924,0.17564060030054057,0.40982806736792804,0.5854686676684686,5.03503054194883,4.800843074881443,0.4406779661016949,0.2542372881355932,0.14527845036319612,18.003752728085338,1.838486964345088,0.5476344149113027,2.4056797512175088,0.7627765064836003,0.919243482172544,2.366563007295273,3.5791820688845863,3.227131373584463,0.684931506849315,36.08979916732865,0.0387409200968523,0.012106537530266344,0.17191283292978207,0.13317191283292978,0.012106537530266344,0.026634382566585957,0.24939467312348668,0.03389830508474576,0.06295399515738499,0.07021791767554479,0.14527845036319612,0.004842615012106538,0.01694915254237288,0.1234866828087167,0.09200968523002422,0.06295399515738499,0.09685230024213075
1877,1880,0,True,500,16,0.08,0.042,0.04,0.0,0.0,0.042,0.002,0.0,0.012,0.0,0.01,0.664,0.27,0.9985989805347721,4.6650967299609505,0.4322294094851999,0.8942677437624825,0.10433123677228963,0.37261155990103434,0.0,3.2938861895251437,0.1639490863564551,9.255671147941694,0.08942677437624824,0.6110829582376963,26.23185381703282,71.1091900915134,0.3428026351089516,0.3875160222970757,0.596178495841655,4.6800011923569915,4.173249470891585,0.396,0.258,0.194,18.51061757311295,1.7307233229887802,0.23872045834328,2.282764382907615,0.5371210312723801,1.775483408928145,2.32752446884698,4.02840773454285,1.8351635235139652,0.5166666666666667,36.252937800325725,0.044,0.002,0.102,0.378,0.006,0.014,0.166,0.076,0.048,0.056,0.084,0.002,0.004,0.102,0.072,0.04,0.072
1881,1884,0,True,514,13,0.054474708171206226,0.0019455252918287938,0.013618677042801557,0.0,0.0,0.06420233463035019,0.0,0.0,0.005836575875486381,0.0,0.048638132295719845,0.7957198443579766,0.08560311284046693,1.6752289479562206,5.155982428709701,0.7259325441143623,1.1912739185466457,0.1861365497729134,0.39088675452311816,0.0,5.155982428709701,0.1489092398183307,7.557143920780284,0.03722730995458268,0.48395502940957486,22.65281810736356,65.25947435038344,0.01861365497729134,0.46534137443228357,0.5025686843868662,3.4062988608443154,3.815799270344725,0.34824902723735407,0.3754863813229572,0.1264591439688716,16.920618229465283,1.9459985405010947,0.39294201298579795,3.218382201597964,0.7110379282600153,1.7963063450779335,2.8067286641842712,4.247516045132198,2.395075126770578,0.5266742338251986,32.220811822867745,0.023346303501945526,0.019455252918287938,0.07976653696498054,0.19649805447470817,0.0038910505836575876,0.013618677042801557,0.24708171206225682,0.05642023346303502,0.08754863813229571,0.05058365758754864,0.06420233463035019,0.0,0.011673151750972763,0.0933852140077821,0.10311284046692606,0.09533073929961089,0.08365758754863813
1885,1888,0,True,651,14,0.06605222734254992,0.009216589861751152,0.027649769585253458,0.0,0.0,0.018433179723502304,0.0,0.0,0.10291858678955453,0.0,0.043010752688172046,0.7557603686635944,0.07987711213517665,1.189862372585571,3.7943388992450986,0.7006967305226139,1.031214056240828,0.1983103954309285,0.18508970240219993,0.0,4.071973452848398,0.1983103954309285,5.208953053319054,0.02644138605745713,0.5949311862927855,28.464152090852604,62.36200901651265,0.26441386057457134,0.33051732571821413,0.4230621769193141,2.5780351406020707,4.085194145877127,0.402457757296467,0.3333333333333333,0.18740399385560677,18.40367323128565,1.3513155454280492,0.384197557033465,2.96759492329297,0.8346360721761479,3.788982803847275,3.577011737897777,2.78212024058716,1.4705492700246416,0.3637295081967213,35.60687393781447,0.06758832565284179,0.010752688172043012,0.06144393241167435,0.20276497695852536,0.03533026113671275,0.016897081413210446,0.17665130568356374,0.0706605222734255,0.02457757296466974,0.03840245775729647,0.053763440860215055,0.0,0.006144393241167435,0.12135176651305683,0.07987711213517665,0.12903225806451613,0.11213517665130568
1889,1892,0,True,593,15,0.18718381112984822,0.05902192242833052,0.07251264755480608,0.09780775716694773,0.003372681281618887,0.048903878583473864,0.0,0.0,0.013490725126475547,0.011804384485666104,0.0893760539629005,0.7352445193929174,0.0,2.228767014248189,5.439252832391414,0.8490541006659768,0.9817188038950357,0.13266470322905885,0.17246411419777652,0.0,2.586961712966648,0.5041258722704237,4.444267558173473,0.05306588129162355,0.5173923425933297,26.99726710711348,64.8863063493327,0.25206293613521186,0.2122635251664942,0.5041258722704237,2.8655575897476715,3.794210512351084,0.44013490725126475,0.21585160202360876,0.1551433389544688,16.911225991970532,1.6882460851301413,0.5583176029564246,1.4622603886953978,0.7975965756520352,1.249567968521522,3.522718209129822,4.519713928694866,2.0737510966952915,0.3813620071684588,33.47167974765868,0.09106239460370995,0.011804384485666104,0.045531197301854974,0.15851602023608768,0.06239460370994941,0.02023608768971332,0.25295109612141653,0.06239460370994941,0.05564924114671164,0.04047217537942664,0.06239460370994941,0.02866779089376054,0.00505902192242833,0.07925801011804384,0.045531197301854974,0.18549747048903878,0.06745362563237774
